{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:28:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:10'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:18'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:18'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:29:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:29:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:10'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:10'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:15'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:19'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:20'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:21'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:22'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:23'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:28'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:29'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:31'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:32'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:32'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:33'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:33'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:33'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:30:33'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:30:33'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:08'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:08'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:10'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '天水', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武山', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:16'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西宁', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:17'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '嘉峪关', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:18'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '柳园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:18'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '哈密', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:22'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄯善北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:22'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '吐鲁番北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:22'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐南', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:23'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '乌鲁木齐', 'rw': '10', 'yw': '有', 'yz': '有', 'wz': '无', 'modifyTime': '2017-09-26 03:40:23'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:40:23'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '三明北', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:09'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '南昌西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:11'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '黄石', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:12'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '鄂州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '武昌', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '花园', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '信阳', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:13'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '西安', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '杨陵', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:14'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '宝鸡', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:14'}
Expecting value: line 1 column 1 (char 0)
'data'
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '陇西', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:18'}
{'trainCode': '580000T3060C', 'train': 'T306', 'date': '20171001', 'start': '福州', 'end': '兰州', 'rw': '无', 'yw': '无', 'yz': '无', 'wz': '无', 'modifyTime': '2017-09-26 03:50:18'}
